id,title,status,chosen_file,score,warning,candidates
pv-091-alan-turing,Alan Turing,updated,File:Alan Turing Aged 16.jpg,516,none,
pv-092-srinivasa-ramanujan,Srinivasa Ramanujan,updated,File:Srinivasa Ramanujan - OPC - 2 (cleaned).jpg,451,none,
pv-093-c-v-raman,C V Raman,updated,File:Nobel ceremony 1930.jpg,328,none,
pv-094-a-p-j-abdul-kalam,A P J Abdul Kalam,updated,File:A. P. J. Abdul Kalam.jpg,541,none,
pv-095-homi-j-bhabha,Homi J Bhabha,updated,File:Homi J. Bhabha - Oil painting by Rajasekharan.jpg,301,none,
pv-096-jagadish-chandra-bose,Jagadish Chandra Bose,updated,File:1920 Jagadish Chandra Bose.jpg,514,none,
pv-097-m-s-swaminathan,M S Swaminathan,updated,"File:The Vice President, Shri M. Venkaiah Naidu addressing at an event to felicitate Dr. M.S. Swaminathan, in Chennai on December 10, 2017.jpg",328,none,
pv-098-vikram-sarabhai,Vikram Sarabhai,updated,File:Gaganyaan crew unofficial portrait.jpg,326,none,
pv-099-stephen-hawking,Stephen Hawking,updated,File:Earth-moon.jpg,375,none,
pv-100-jane-goodall,Jane Goodall,updated,File:Jane Goodall 2015.jpg,431,none,
