id,levelNumber,title,category,status,source,note
pv-421-tyrannosaurus-rex,421,Tyrannosaurus rex,dinosaurs_extinct_animals,updated,Q13098211,
pv-422-triceratops,422,Triceratops,dinosaurs_extinct_animals,updated,Q14384,
pv-423-velociraptor,423,Velociraptor,dinosaurs_extinct_animals,updated,Q14403,
pv-424-stegosaurus,424,Stegosaurus,dinosaurs_extinct_animals,updated,Q14388,
pv-425-brachiosaurus,425,Brachiosaurus,dinosaurs_extinct_animals,updated,Q14397,
pv-426-diplodocus,426,Diplodocus,dinosaurs_extinct_animals,updated,Q14330,
pv-427-spinosaurus,427,Spinosaurus,dinosaurs_extinct_animals,updated,Q130966,
pv-428-ankylosaurus,428,Ankylosaurus,dinosaurs_extinct_animals,updated,Q40621,
pv-429-iguanodon,429,Iguanodon,dinosaurs_extinct_animals,updated,Q130980,
pv-430-parasaurolophus,430,Parasaurolophus,dinosaurs_extinct_animals,updated,Q203583,
pv-431-pachycephalosaurus,431,Pachycephalosaurus,dinosaurs_extinct_animals,updated,Q14455,
pv-432-allosaurus,432,Allosaurus,dinosaurs_extinct_animals,updated,Q14400,
pv-433-archaeopteryx,433,Archaeopteryx,dinosaurs_extinct_animals,updated,Q100196,
pv-434-microraptor,434,Microraptor,dinosaurs_extinct_animals,updated,Q310537,
pv-435-carnotaurus,435,Carnotaurus,dinosaurs_extinct_animals,updated,Q18510948,
pv-436-giganotosaurus,436,Giganotosaurus,dinosaurs_extinct_animals,updated,Q14438,
pv-437-deinonychus,437,Deinonychus,dinosaurs_extinct_animals,updated,Q14405,
pv-438-therizinosaurus,438,Therizinosaurus,dinosaurs_extinct_animals,updated,Q131264,
pv-439-pteranodon,439,Pteranodon,dinosaurs_extinct_animals,updated,Q245060,
pv-440-quetzalcoatlus,440,Quetzalcoatlus,dinosaurs_extinct_animals,updated,Q131205,
pv-441-mosasaurus,441,Mosasaurus,dinosaurs_extinct_animals,updated,Q312131,
pv-442-plesiosaurus,442,Plesiosaurus,dinosaurs_extinct_animals,updated,Q857081,
pv-443-ichthyosaurus,443,Ichthyosaurus,dinosaurs_extinct_animals,updated,Q131565,
pv-444-dimetrodon,444,Dimetrodon,dinosaurs_extinct_animals,updated,Q130869,
pv-445-mammoth,445,Mammoth,dinosaurs_extinct_animals,updated,Q36715,
pv-446-saber-toothed-cat,446,Saber-Toothed Cat,dinosaurs_extinct_animals,updated,Q1078836,
pv-447-dodo,447,Dodo,dinosaurs_extinct_animals,updated,Q19968507,
pv-448-great-auk,448,Great Auk,dinosaurs_extinct_animals,updated,Q189193,
pv-449-tasmanian-tiger,449,Tasmanian Tiger,dinosaurs_extinct_animals,updated,Q123102,
pv-450-passenger-pigeon,450,Passenger Pigeon,dinosaurs_extinct_animals,updated,Q191968,
pv-451-megatherium,451,Megatherium,dinosaurs_extinct_animals,updated,Q310387,
pv-452-glyptodon,452,Glyptodon,dinosaurs_extinct_animals,updated,Q131695,
pv-453-megalodon,453,Megalodon,dinosaurs_extinct_animals,updated,Q163873,
pv-454-dunkleosteus,454,Dunkleosteus,dinosaurs_extinct_animals,updated,Q131039,
pv-455-trilobite,455,Trilobite,dinosaurs_extinct_animals,updated,Q17170,
pv-456-ammonite,456,Ammonite,dinosaurs_extinct_animals,updated,Q228002,
pv-457-hallucigenia,457,Hallucigenia,dinosaurs_extinct_animals,updated,Q132406,
pv-458-anomalocaris,458,Anomalocaris,dinosaurs_extinct_animals,updated,Q37395,
pv-459-tiktaalik,459,Tiktaalik,dinosaurs_extinct_animals,updated,Q131481,
pv-460-haast-eagle,460,Haast Eagle,dinosaurs_extinct_animals,updated,template,
